epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6577,2.35116,3.93305,0,3.95929,2.43284,0.16667,0.34615,0.23829,0.08324,0.68519,0.42033,0.5595,0.12254,1.48097,3.27669,0,3.33995,1.66578,0.00013336,0.00013336,0.00013336
2,42.4659,1.78041,3.30386,0,2.70956,1.89914,0.84115,0.45861,0.71682,0.38834,0.75,0.63736,0.71389,0.2387,1.32855,2.83632,0,3.24045,1.78946,0.000227279,0.000227279,0.000227279
3,61.7856,1.60892,2.566,0,2.25635,1.75125,0.67836,0.67308,0.68391,0.41661,0.64912,0.67582,0.68947,0.29784,1.21154,2.4892,0,2.51994,1.55187,0.000261786,0.000261786,0.000261786
4,80.0359,1.67664,2.23401,0,2.09395,1.76442,0.74599,0.77198,0.73636,0.429,0.80749,0.81319,0.75411,0.37796,1.25094,2.16697,0,1.9495,1.58357,0.000236881,0.000236881,0.000236881
5,99.2773,1.56202,1.94625,0,1.95538,1.62666,0.80353,0.81593,0.81936,0.49395,0.92857,0.96429,0.93159,0.54838,1.07157,1.71706,0,1.69219,1.42695,0.000152564,0.000152564,0.000152564
