epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.862,2.2971,2.93586,0,3.8338,2.35213,0,0,0,0,0,0,0,0,2.12657,3.12905,0,3.83204,2.56237,6.668e-05,6.668e-05,6.668e-05
2,20.711,1.63376,2.8609,0,3.03484,1.77956,0.83205,0.28571,0.29688,0.08689,0.99677,0.42857,0.46142,0.12588,1.77135,3.29725,0,3.80241,1.96509,0.000120324,0.000120324,0.000120324
3,30.3642,1.54645,2.33692,0,2.31151,1.66706,0.90621,0.41758,0.66539,0.43663,0.95135,0.45604,0.69713,0.28949,1.24445,3.13264,0,3.71929,1.46067,0.000140962,0.000140962,0.000140962
4,40.1892,1.39107,2.04074,0,2.11432,1.51214,0.9278,0.4478,0.69349,0.42785,0.98892,0.48626,0.7324,0.22737,1.06904,2.92536,0,2.35666,1.31458,0.000128592,0.000128592,0.000128592
5,49.8768,1.31834,1.78836,0,1.93265,1.48985,0.9,0.43956,0.6587,0.34663,0.91032,0.43681,0.65452,0.29896,1.06774,2.68223,0,1.84522,1.29617,8.32166e-05,8.32166e-05,8.32166e-05
