epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.996,2.2971,2.93586,0,3.8338,2.35213,0,0,0,0,0,0,0,0,2.12657,3.12905,0,3.83204,2.56237,6.668e-05,6.668e-05,6.668e-05
2,21.2383,1.63376,2.8609,0,3.03484,1.77956,0.70438,0.28571,0.20815,0.06303,0.7954,0.42857,0.35338,0.09517,1.77135,3.29725,0,3.80241,1.96509,0.000120324,0.000120324,0.000120324
3,31.1688,1.54645,2.33692,0,2.31151,1.66706,0.70076,0.55795,0.65259,0.42115,0.82959,0.67494,0.7823,0.28424,1.24445,3.13264,0,3.71929,1.46067,0.000140962,0.000140962,0.000140962
4,41.0442,1.39107,2.04074,0,2.11432,1.51214,0.82308,0.8544,0.84522,0.51432,0.91999,0.89011,0.91887,0.29477,1.06904,2.92536,0,2.35666,1.31458,0.000128592,0.000128592,0.000128592
5,50.8038,1.31834,1.78836,0,1.93265,1.48985,0.77647,0.77555,0.80233,0.47103,0.89487,0.92857,0.93156,0.39451,1.06774,2.68223,0,1.84522,1.29617,8.32166e-05,8.32166e-05,8.32166e-05
