epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4646,2.15708,3.29108,0,3.7282,2.27963,0.24706,0.2963,0.18799,0.07547,0.41569,0.44444,0.38006,0.08076,1.51783,3.23924,0,3.33206,1.71565,0.00013336,0.00013336,0.00013336
2,39.5708,1.52704,2.68325,0,2.58175,1.6273,0.71285,0.53704,0.60692,0.35876,0.74308,0.66473,0.70306,0.22436,1.37637,2.99596,0,2.52959,1.57394,0.000227279,0.000227279,0.000227279
3,58.6115,1.45469,2.07875,0,2.09469,1.53959,0.7152,0.74074,0.67609,0.39709,0.85538,0.84487,0.8353,0.34687,1.25776,2.60436,0,2.17203,1.52403,0.000261786,0.000261786,0.000261786
4,77.5325,1.34039,1.9289,0,1.89261,1.45174,0.68258,0.7037,0.67828,0.46625,0.67871,0.7037,0.70987,0.32706,1.03562,2.30724,0,2.15448,1.33959,0.000236881,0.000236881,0.000236881
5,96.4233,1.29575,1.62945,0,1.71558,1.43141,0.69524,0.7037,0.73667,0.50563,0.78571,0.7963,0.80959,0.40967,1.02049,2.07687,0,2.06656,1.30317,0.000152564,0.000152564,0.000152564
