epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6129,2.2971,2.93586,0,3.8338,2.35213,0.00588,0.8544,0.0504,0.01763,0.01607,0.42308,0.12098,0.02195,2.12657,3.12905,0,3.83204,2.56237,6.668e-05,6.668e-05,6.668e-05
2,20.4351,1.63376,2.8609,0,3.03484,1.77956,0.37343,0.66758,0.50881,0.2631,0.36704,0.74409,0.63856,0.15381,1.77135,3.29725,0,3.80241,1.96509,0.000120324,0.000120324,0.000120324
3,30.1433,1.54645,2.33692,0,2.31151,1.66706,0.63949,0.57159,0.65439,0.39309,0.72288,0.72594,0.8094,0.27538,1.24445,3.13264,0,3.71929,1.46067,0.000140962,0.000140962,0.000140962
4,39.8403,1.39107,2.04074,0,2.11432,1.51214,0.68273,0.77747,0.76339,0.49479,0.75342,0.85165,0.82801,0.27372,1.06904,2.92536,0,2.35666,1.31458,0.000128592,0.000128592,0.000128592
5,49.4818,1.31834,1.78836,0,1.93265,1.48985,0.69981,0.74176,0.78356,0.51079,0.75131,0.8544,0.84806,0.36755,1.06774,2.68223,0,1.84522,1.29617,8.32166e-05,8.32166e-05,8.32166e-05
